elapsed_seconds,timestamp,pids,tb_guard_rss_mb,tb_guard_vsz_mb,system_used_mb,system_available_mb
0.019,2026-09-16T20:04:59.910467,4047,88.977,322.285,1256.551,2582.367
0.28,2026-09-16T20:05:00.171001,4047,88.977,322.285,1256.527,2582.391
0.541,2026-09-16T20:05:00.432050,4047,88.977,322.285,1256.527,2582.391
0.813,2026-09-16T20:05:00.703761,4047,88.977,322.285,1252.914,2586.004
1.087,2026-09-16T20:05:00.978223,4047,88.977,322.285,1252.836,2586.082
1.359,2026-09-16T20:05:01.249825,4047,88.977,322.285,1252.836,2586.082
1.633,2026-09-16T20:05:01.524312,4047,88.977,322.285,1249.223,2589.695
1.905,2026-09-16T20:05:01.796432,4047,88.977,322.285,1249.145,2589.773
2.181,2026-09-16T20:05:02.071613,4047,88.977,322.285,1249.145,2589.773
2.452,2026-09-16T20:05:02.343081,4047,88.977,322.285,1240.434,2598.484
2.722,2026-09-16T20:05:02.612825,4047,88.977,322.285,1243.141,2595.777
2.997,2026-09-16T20:05:02.887655,4047,88.977,322.285,1243.387,2595.531
3.274,2026-09-16T20:05:03.165258,4047,88.977,322.285,1246.094,2592.824
3.537,2026-09-16T20:05:03.427608,4047,88.977,322.285,1268.488,2570.43
3.797,2026-09-16T20:05:03.688490,4047,88.977,322.285,1268.488,2570.43
4.059,2026-09-16T20:05:03.949993,4047,88.977,322.285,1268.488,2570.43
4.32,2026-09-16T20:05:04.211488,4047,88.977,322.285,1269.965,2568.953
4.581,2026-09-16T20:05:04.472122,4047,88.977,322.285,1269.965,2568.953
4.842,2026-09-16T20:05:04.732715,4047,88.977,322.285,1262.449,2576.469
5.103,2026-09-16T20:05:04.994488,4047,88.977,322.285,1261.871,2577.047
5.364,2026-09-16T20:05:05.254635,4047,88.977,322.285,1261.855,2577.062
5.631,2026-09-16T20:05:05.521957,4047,88.977,322.285,1261.855,2577.062
5.898,2026-09-16T20:05:05.789324,4047,88.977,322.285,1262.102,2576.816
6.162,2026-09-16T20:05:06.053034,4047,88.977,322.285,1262.102,2576.816
6.422,2026-09-16T20:05:06.313324,4047,88.977,322.285,1264.316,2574.602
6.692,2026-09-16T20:05:06.583470,4047,88.977,322.285,1264.316,2574.602
6.954,2026-09-16T20:05:06.844813,4047,88.977,322.285,1256.211,2582.707
7.218,2026-09-16T20:05:07.109328,4047,88.977,322.285,1257.672,2581.246
7.479,2026-09-16T20:05:07.370243,4047,88.977,322.285,1257.672,2581.246
7.74,2026-09-16T20:05:07.631235,4047,88.977,322.285,1257.672,2581.246
8.001,2026-09-16T20:05:07.892047,4047,88.977,322.285,1257.672,2581.246
8.262,2026-09-16T20:05:08.152869,4047,88.977,322.285,1257.672,2581.246
8.533,2026-09-16T20:05:08.424158,4047,88.977,322.285,1260.09,2578.828
8.795,2026-09-16T20:05:08.685967,4047,88.977,322.285,1260.828,2578.09
9.063,2026-09-16T20:05:08.953974,4047,88.977,322.285,1252.652,2586.266
9.326,2026-09-16T20:05:09.216824,4047,88.977,322.285,1252.539,2586.379
9.587,2026-09-16T20:05:09.478142,4047,88.977,322.285,1252.539,2586.379
9.848,2026-09-16T20:05:09.739251,4047,88.977,322.285,1252.539,2586.379
