image_id,main_probability,gradcam_probability,absolute_difference,main_class,gradcam_class,consistency_status,explanation_available,failure_reason
image_001,0.9914588332176208,0.986880235393838,0.004578597823782893,Tuberculosis,Tuberculosis,PASS,YES,
image_002,0.9999065399169922,0.9999257473756349,1.920745864270046e-05,Tuberculosis,Tuberculosis,PASS,YES,
image_003,0.9970365762710571,0.9981338423376919,0.001097266066634739,Tuberculosis,Tuberculosis,PASS,YES,
image_004,0.9968470335006714,0.998267951833682,0.0014209183330106123,Tuberculosis,Tuberculosis,PASS,YES,
image_005,0.9794929027557373,0.986159540545493,0.006666637789755736,Tuberculosis,Tuberculosis,PASS,YES,
image_006,0.9975124001502991,0.9987076860420575,0.0011952858917584352,Tuberculosis,Tuberculosis,PASS,YES,
image_007,0.9968470335006714,0.998267951833682,0.0014209183330106123,Tuberculosis,Tuberculosis,PASS,YES,
image_008,0.9993174076080322,0.9995285610081474,0.00021115340011512718,Tuberculosis,Tuberculosis,PASS,YES,
image_009,0.9999065399169922,0.9999257473756349,1.920745864270046e-05,Tuberculosis,Tuberculosis,PASS,YES,
image_010,0.008365760557353497,0.01203958040555394,0.003673819848200444,Normal,Normal,PASS,YES,
image_011,0.9969522356987,0.9979041251113443,0.0009518894126443467,Tuberculosis,Tuberculosis,PASS,YES,
image_012,0.9999065399169922,0.9999257473756349,1.920745864270046e-05,Tuberculosis,Tuberculosis,PASS,YES,
image_013,0.9999065399169922,0.9999257473756349,1.920745864270046e-05,Tuberculosis,Tuberculosis,PASS,YES,
image_014,0.007065805606544018,0.01320268461151444,0.006136879004970423,Normal,Normal,PASS,YES,
image_015,0.9877621531486511,0.9946914419470284,0.006929288798377287,Tuberculosis,Tuberculosis,PASS,YES,
image_016,0.9999065399169922,0.9999257473756349,1.920745864270046e-05,Tuberculosis,Tuberculosis,PASS,YES,
image_017,0.9993935823440552,0.9997818983578833,0.0003883160138281605,Tuberculosis,Tuberculosis,PASS,YES,
image_018,0.9994008541107178,0.9996546118239649,0.0002537577132470936,Tuberculosis,Tuberculosis,PASS,YES,
image_019,0.99432373046875,0.9971713075726093,0.0028475771038593,Tuberculosis,Tuberculosis,PASS,YES,
image_020,0.9999065399169922,0.9999257473756349,1.920745864270046e-05,Tuberculosis,Tuberculosis,PASS,YES,
